timestamp_s,encoder_count,accel_x_mss
0.005,0,0.49383
0.01034,115,0.97079
0.015327,222,1.21284
0.020086,324,1.38663
0.025511,441,1.47628
0.029397,525,1.47114
0.034616,637,1.43466
0.038962,731,1.3767
0.043737,834,1.13842
0.048945,946,1.0903
0.053225,1039,0.90737
0.057887,1139,0.81908
0.063288,1256,0.57063
0.068419,1367,0.39724
0.073587,1479,0.39959
0.078586,1587,0.4444
0.083378,1691,0.36595
0.08898,1812,0.21989
0.094066,1922,0.30123
0.099417,2039,0.10044
0.104126,2141,0.11566
0.109269,2252,0.01194
0.114034,2356,-0.36182
0.119055,2465,-0.49668
0.124022,2573,-0.81627
0.129855,2700,-1.13846
0.134959,2811,-1.33175
0.139919,2919,-1.43696
0.144682,3023,-1.55493
0.150208,3144,-1.68711
0.155289,3255,-1.69576
0.160066,3359,-1.68003
0.164826,3463,-1.40678
0.170578,3589,-1.03146
0.176013,3708,-0.63963
0.180572,3808,-0.24229
0.18548,3915,0.18828
0.190565,4026,0.6216
0.195485,4134,1.11782
0.201563,4268,1.29793
0.205589,4356,1.44424
0.211102,4477,1.77023
0.216773,4602,1.64452
0.221783,4712,1.47439
0.226943,4825,1.36641
0.232172,4940,1.25979
0.236985,5046,1.18357
0.241415,5144,0.96434
0.246405,5254,0.76816
0.251018,5356,0.67996
0.256345,5473,0.56118
0.261295,5582,0.4036
0.266661,5701,0.44451
0.271655,5811,0.49311
0.276905,5927,0.31917
0.281612,6032,0.34634
0.286902,6149,0.14881
0.2919,6259,0.05043
0.297026,6373,-0.11264
0.301935,6482,-0.40801
0.306486,6583,-0.69662
0.311596,6696,-0.92577
0.316191,6798,-1.22451
0.321,6905,-1.34464
0.325973,7015,-1.54358
0.330508,7116,-1.6934
0.335637,7230,-1.61717
0.340045,7328,-1.55178
0.344459,7427,-1.39191
0.349252,7533,-1.10503
0.353554,7629,-0.8651
0.3628,7835,-0.1264
0.36771,7945,0.33419
0.372553,8053,0.59436
0.37727,8159,1.02272
0.382238,8270,1.28625
0.387091,8378,1.56511
0.392716,8504,1.49035
0.396989,8600,1.53372
0.401984,8711,1.60601
0.407024,8824,1.33192
0.412104,8938,1.1373
0.417617,9062,0.75835
0.422656,9175,0.71665
0.427688,9288,0.56031
0.432584,9398,0.46601
0.437142,9500,0.37546
0.442366,9618,0.27966
0.447646,9736,0.28433
0.452963,9856,0.22962
0.458066,9971,0.21413
0.463169,10086,-0.04179
0.468564,10207,-0.08722
0.473618,10321,-0.34545
0.479278,10449,-0.57897
0.484215,10560,-0.97774
0.489194,10673,-1.16666
0.494365,10790,-1.3631
0.499158,10898,-1.57421
0.503906,11005,-1.77709
0.508842,11117,-1.68715
0.513841,11230,-1.6859
0.518921,11345,-1.51078
0.523836,11456,-1.1595
0.52883,11570,-0.72041
0.539367,11809,0.14915
0.544203,11918,0.56734
0.549712,12043,0.90172
0.554399,12150,1.31797
0.559819,12273,1.47315
0.564446,12378,1.56383
0.569356,12490,1.56889
0.574517,12607,1.50989
0.579858,12729,1.3987
0.585393,12855,1.08897
0.590842,12979,0.86156
0.596155,13100,0.8071
0.601206,13216,0.72875
0.607145,13351,0.51028
0.612443,13472,0.34558
0.616786,13571,0.40357
0.622633,13705,0.26137
0.627531,13817,0.28103
0.632588,13933,0.24533
0.637842,14053,0.21736
0.64237,14156,-0.04102
0.64756,14275,-0.2034
0.652545,14389,-0.49338
0.65739,14501,-0.7364
0.662238,14612,-1.19968
0.668083,14746,-1.40694
0.673612,14873,-1.46163
0.677579,14964,-1.60207
0.682319,15073,-1.63434
0.687858,15200,-1.4426
0.693285,15325,-1.06462
0.698681,15449,-0.79805
0.703399,15557,-0.27569
0.70813,15666,0.05321
0.712614,15769,0.56747
0.717106,15873,0.87237
0.722303,15993,1.29083
0.727489,16112,1.57797
0.732439,16226,1.78868
0.737357,16340,1.77647
0.742419,16457,1.60868
0.747764,16580,1.58356
0.752895,16698,1.22631
0.757886,16814,1.17334
0.76315,16935,0.87861
0.768878,17068,0.86565
0.774043,17187,0.52375
0.778823,17298,0.71694
0.784067,17419,0.50475
0.788721,17527,0.48652
0.799113,17768,0.2211
0.809304,18004,0.18064
0.815011,18137,-0.11939
0.819741,18246,-0.5541
0.825285,18375,-0.83474
0.831039,18509,-1.21874
0.836284,18631,-1.41777
0.841639,18755,-1.58169
0.846785,18875,-1.66828
0.851688,18989,-1.66131
0.856157,19093,-1.44919
0.861871,19226,-1.11151
